,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.01,0.0,12.05,32.55,95.65,41.07,34.83
Expenses,0.01,0.0,12.01,32.26,95.37,41.13,35.08
Operating Profit,0.00,0.0,0.04,0.29,0.28,-0.06,-0.25
OPM %,0.00,,0.33,0.89,0.29,-0.15,-0.72
Other Income,0.00,0.0,0.0,0.01,0.28,0.17,0.27
Interest,0.00,0.0,0.0,0.0,0.1,0.02,0.01
Depreciation,0.00,0.0,0.0,0.0,0.02,0.03,0.01
Profit before tax,0.00,0.0,0.04,0.3,0.44,0.06,0.00
Tax %,,,25.0,26.67,25.0,16.67,
Net Profit,0.00,0.0,0.03,0.23,0.33,0.04,-0.02
EPS in Rs,0.00,0.0,30.0,5.48,1.69,0.13,-0.07
