,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,0.42,1.95,3.15,3.15
Reserves,0.0,0.0,0.03,1.49,1.44,6.88,6.84
Borrowings,0.0,0.0,0.0,0.01,2.89,0.0,0.02
Other Liabilities,0.0,0.0,12.01,2.66,6.14,5.08,9.5
Total Liabilities,0.01,0.01,12.05,4.58,12.42,15.11,19.51
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.06,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Investments,0.0,0.0,0.0,0.0,0.11,0.11,0.11
Other Assets,0.01,0.01,12.05,4.58,12.31,14.94,19.34
Total Assets,0.01,0.01,12.05,4.58,12.42,15.11,19.51
