,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,48,48,45,90,90,110,110,111,111,111
Reserves,106,136,198,227,309,728,933,1155,1253,1338
Borrowings,300,299,323,372,297,264,88,152,63,59
Other Liabilities,142,170,195,291,338,308,451,522,427,402
Total Liabilities,596,653,760,980,1034,1410,1583,1939,1854,1910
Fixed Assets,224,238,269,345,363,489,503,646,681,721
CWIP,4,14,18,15,62,8,77,23,24,24
Investments,0,2,1,1,1,1,1,12,92,129
Other Assets,367,400,473,620,608,913,1002,1259,1058,1035
Total Assets,596,653,760,980,1034,1410,1583,1939,1854,1910
