,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,63.25,63.25,62.94,60.94,60.94
FIIs,0.92,2.43,3.96,6.25,5.01
DIIs,19.29,15.6,14.04,15.75,18.56
Public,16.54,18.72,19.05,17.06,15.49
No. of Shareholders,53568.0,55192.0,255137.0,247938.0,205896.0
