,2023-03-01
Depreciation,12.0
EPS in Rs,79.12
Expenses,423.0
Interest,5.0
Net Profit,34.0
OPM %,13.0
Operating Profit,61.0
Other Income,3.0
Profit before tax,47.0
Sales,484.0
Tax %,28.0
