,2014-06-01,2014-09-01,2015-06-01,2015-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,102.56,100.71,87.5,88.97,111.05,104.93,111.51
Expenses,93.09,90.3,78.88,81.44,95.76,94.6,99.89
Operating Profit,9.47,10.41,8.62,7.53,15.29,10.33,11.62
OPM %,9.23,10.34,9.85,8.46,13.77,9.84,10.42
Other Income,0.01,0.01,0.02,0.21,1.14,0.27,-0.67
Interest,2.73,3.09,2.63,2.65,1.18,1.39,1.59
Depreciation,1.99,2.3,2.02,2.03,3.19,3.19,3.46
Profit before tax,4.76,5.03,3.99,3.06,12.06,6.02,5.9
Tax %,34.03,33.4,33.83,33.99,34.74,23.26,16.44
Net Profit,3.14,3.35,2.64,2.02,7.87,4.62,4.93
EPS in Rs,8.56,9.14,6.19,4.73,0.0,10.83,11.55
