,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,55.74,55.74,55.74,55.74,55.74,55.74,55.74,55.74,50.08,50.08,50.08,47.15
FIIs,3.18,5.16,4.95,2.28,1.32,1.32,1.32,0.0,0.0,0.0,0.0,0.0
Public,41.09,39.1,39.31,41.98,42.94,42.94,42.94,44.25,49.92,49.93,49.92,52.86
No. of Shareholders,10147.0,9502.0,10180.0,17667.0,16776.0,19923.0,19674.0,19875.0,19970.0,19724.0,20508.0,26131.0
