,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1193.0,1700.0,2733.0,2437.0,3263.0,3410.0,3393.0,3776.0,3767.0,3643.0,3778.0,3898.0,4306.0
Expenses,1018.0,1480.0,2456.0,2157.0,2883.0,2969.0,3042.0,3379.0,3256.0,3174.0,3287.0,3431.0,3744.0
Operating Profit,175.0,221.0,277.0,281.0,380.0,441.0,351.0,397.0,511.0,469.0,491.0,467.0,562.0
OPM %,15.0,13.0,10.0,12.0,12.0,13.0,10.0,11.0,14.0,13.0,13.0,12.0,13.0
Other Income,10.0,5.0,12.0,25.0,26.0,46.0,37.0,29.0,7.0,95.0,187.0,42.0,59.0
Interest,5.0,14.0,25.0,24.0,21.0,22.0,20.0,9.0,12.0,11.0,11.0,11.0,13.0
Depreciation,44.0,64.0,97.0,97.0,91.0,91.0,76.0,85.0,92.0,95.0,124.0,109.0,118.0
Profit before tax,136.0,148.0,166.0,185.0,294.0,374.0,292.0,332.0,414.0,460.0,542.0,389.0,490.0
Tax %,25.0,27.0,14.0,27.0,21.0,-4.0,23.0,26.0,33.0,29.0,12.0,27.0,30.0
Net Profit,101.0,107.0,143.0,135.0,232.0,390.0,225.0,247.0,277.0,324.0,477.0,284.0,341.0
EPS in Rs,5.28,5.44,7.01,6.22,9.65,14.46,9.27,10.08,11.08,12.19,16.15,11.12,13.62
