,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14.26,18.74,21.89,21.05,31.15,36.33,44.29,28.45,42.14,43.47,33.25,34.70
Expenses,10.41,15.0,17.41,20.33,27.66,31.83,41.54,25.48,38.88,38.67,29.36,30.59
Operating Profit,3.85,3.74,4.48,0.72,3.49,4.5,2.75,2.97,3.26,4.8,3.89,4.11
OPM %,27.0,19.96,20.47,3.42,11.2,12.39,6.21,10.44,7.74,11.04,11.7,11.84
Other Income,0.24,1.8,0.62,0.62,0.55,0.27,0.73,0.63,2.41,0.39,0.4,0.42
Interest,0.46,0.62,0.95,1.49,1.82,1.95,1.73,1.8,1.92,1.95,1.62,1.64
Depreciation,0.58,0.66,1.08,1.34,1.11,1.14,1.13,1.72,1.6,2.04,1.72,1.89
Profit before tax,3.05,4.26,3.07,-1.49,1.11,1.68,0.62,0.08,2.15,1.2,0.95,1.00
Tax %,25.9,19.25,20.85,-27.52,32.43,43.45,67.74,-500.0,12.56,42.5,-5.26,
Net Profit,2.26,3.44,2.43,-1.9,0.75,0.95,0.2,0.48,1.88,0.68,1.0,0.97
EPS in Rs,1.69,2.61,1.87,-1.47,0.59,0.8,0.09,0.34,1.17,0.48,0.69,0.67
