,2023-09-01
Depreciation,2.56
EPS in Rs,2.61
Expenses,7.0
Interest,1.01
Net Profit,2.01
OPM %,44.31
Operating Profit,5.57
Other Income,0.06
Profit before tax,2.06
Sales,12.57
Tax %,1.94
