,2021-03-01,2022-03-01,2023-03-01
Debtor Days,423.31,499.41,461.86
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,423.31,499.41,461.86
Working Capital Days,-128.86,-401.97,280.54
ROCE %,,-5.78,8.78
