,2011-03-01,2012-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,13,18,27,27,27,27,55
Reserves,3,4,13,20,34,54,150,157,174,198,238,231
Borrowings,2,9,12,11,4,5,0,0,13,0,0,0
Other Liabilities,4,7,8,14,23,22,23,25,40,37,47,40
Total Liabilities,9,20,33,45,61,95,191,210,255,262,312,326
Fixed Assets,1,2,2,2,8,20,25,50,41,53,54,60
CWIP,0,0,0,0,0,0,9,0,2,1,5,0
Investments,0,2,2,3,2,0,0,0,0,0,0,0
Other Assets,8,15,29,40,51,75,157,160,212,208,252,266
Total Assets,9,20,33,45,61,95,191,210,255,262,312,326
