,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,521,1387.0,1322.0,1617.0,1268.0,1444.0,1553
Expenses,464,1174.0,1062.0,1231.0,1188.0,1309.0,1402
Operating Profit,57,213.0,260.0,386.0,81.0,134.0,151
OPM %,11,15.0,20.0,24.0,6.0,9.0,10
Other Income,2,12.0,27.0,29.0,16.0,22.0,10
Interest,25,82.0,78.0,84.0,75.0,90.0,95
Depreciation,34,83.0,94.0,109.0,112.0,111.0,107
Profit before tax,0,60.0,115.0,222.0,-91.0,-45.0,-41
Tax %,-70,1.0,0.0,0.0,36.0,50.0,
Net Profit,0,59.0,115.0,221.0,-58.0,-22.0,-32
EPS in Rs,,23.09,42.68,61.62,-16.15,-6.16,-9.02
