,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,25,26,27,36,36,36,36
Reserves,739,930,1059,1553,1489,1464,1427
Borrowings,633,538,722,621,1037,1013,985
Other Liabilities,425,466,346,404,383,386,427
Total Liabilities,1821,1960,2153,2614,2945,2899,2875
Fixed Assets,1086,1218,1397,1382,1356,1364,1313
CWIP,71,40,40,88,239,238,250
Investments,1,0,0,0,0,2,2
Other Assets,663,701,716,1144,1350,1295,1310
Total Assets,1821,1960,2153,2614,2945,2899,2875
