,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34
Reserves,9.61,15.21,15.04,15.77,15.97,16.44,17.04,16.91,17.89,18.41,18.49,18.56,18.45
Borrowings,1.6,2.18,7.97,8.81,16.81,14.96,16.95,19.98,22.5,24.46,23.49,24.56,25.42
Other Liabilities,22.59,23.53,23.65,13.91,23.56,27.7,30.28,19.41,29.51,27.61,16.2,22.52,14.14
Total Liabilities,45.14,52.26,58.0,49.83,67.68,70.44,75.61,67.64,81.24,81.82,69.52,76.98,69.35
Fixed Assets,5.54,4.85,4.25,5.61,7.81,9.33,8.89,10.85,12.64,13.41,12.86,11.94,11.61
CWIP,1.03,1.05,1.05,0.55,0.55,0.44,0.44,0.0,0.0,0.0,0.0,0.41,0.41
Investments,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,38.57,46.23,52.57,43.54,59.19,60.54,66.14,56.79,68.6,68.41,56.66,64.63,57.33
Total Assets,45.14,52.26,58.0,49.83,67.68,70.44,75.61,67.64,81.24,81.82,69.52,76.98,69.35
