,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,43.0,52.0,113.0,120.0,152.0,174.0,167.0,70.0,73.0,18.0
Expenses,41.0,51.0,103.0,108.0,134.0,156.0,150.0,64.0,78.0,124.0
Operating Profit,2.0,1.0,10.0,12.0,18.0,17.0,17.0,6.0,-6.0,-106.0
OPM %,5.0,2.0,9.0,10.0,12.0,10.0,10.0,9.0,-8.0,-574.0
Other Income,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0
Interest,0.0,0.0,7.0,8.0,9.0,8.0,10.0,10.0,4.0,1.0
Depreciation,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
Profit before tax,2.0,1.0,1.0,3.0,7.0,9.0,5.0,-3.0,-11.0,-109.0
Tax %,56.0,146.0,22.0,24.0,31.0,25.0,24.0,5.0,17.0,3.0
Net Profit,1.0,-1.0,1.0,2.0,5.0,7.0,4.0,-3.0,-9.0,-105.0
EPS in Rs,5.05,-2.55,5.6,10.75,0.27,0.27,0.15,-0.12,-0.37,-4.21
