,2011-03-01,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,2,18,25,25,25,25,25,25.0
Reserves,6,6,12,14,10,26,26,23,14,-91,-92.0
Preference Capital,1,1,1,1,0,0,0,0,0,0,
Borrowings,16,26,82,88,83,89,90,106,103,103,101.0
Other Liabilities,26,32,18,38,63,51,90,59,22,19,21.0
Total Liabilities,50,66,114,142,174,192,231,213,164,56,55.0
Fixed Assets,11,10,17,20,28,28,28,25,26,23,22.0
CWIP,0,0,7,6,2,0,0,0,0,0,0.0
Investments,0,0,7,7,0,0,0,0,0,0,0.0
Other Assets,39,55,82,109,145,163,202,188,139,34,33.0
Total Assets,50,66,114,142,174,192,231,213,164,56,55.0
