,2022-03-01,2023-03-01
Sales,95.0,95.0
Expenses,75.0,74.0
Operating Profit,21.0,21.0
OPM %,22.0,23.0
Other Income,1.0,1.0
Interest,0.0,1.0
Depreciation,2.0,2.0
Profit before tax,20.0,20.0
Tax %,26.0,27.0
Net Profit,15.0,14.0
EPS in Rs,10.03,9.7
