,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.66,28.07,33.95,40.02,50.68,57.43,51.8,48.08,51.34,51.33,58.96,51.31,41.24
Expenses,24.52,25.75,30.72,32.99,42.38,51.93,47.02,44.43,48.0,48.11,53.37,46.97,36.12
Operating Profit,3.14,2.32,3.23,7.03,8.3,5.5,4.78,3.65,3.34,3.22,5.59,4.34,5.12
OPM %,11.35,8.27,9.51,17.57,16.38,9.58,9.23,7.59,6.51,6.27,9.48,8.46,12.42
Other Income,0.03,0.0,0.12,0.37,0.15,0.09,0.14,0.09,0.12,3.86,0.1,0.01,0.01
Interest,0.39,0.52,1.78,2.72,2.57,2.36,1.88,1.59,1.54,1.42,1.68,1.62,1.65
Depreciation,0.6,0.72,1.14,3.63,2.91,2.58,2.4,1.71,1.46,1.37,1.76,1.6,1.45
Profit before tax,2.18,1.08,0.43,1.05,2.97,0.65,0.64,0.44,0.46,4.29,2.25,1.13,2.03
Tax %,27.06,3.7,20.93,33.33,40.74,73.85,50.0,9.09,28.26,23.54,28.89,21.24,
Net Profit,1.59,1.04,0.34,0.7,1.75,0.16,0.32,0.41,0.33,3.28,1.59,0.89,1.54
EPS in Rs,2.19,1.44,0.47,0.97,2.42,0.22,0.41,0.52,0.38,3.75,1.82,0.96,1.69
