,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,172.0,230.0,317.0,448.0,584.0
Expenses,83.0,84.0,99.0,138.0,185.0
Operating Profit,89.0,146.0,218.0,310.0,399.0
OPM %,52.0,63.0,69.0,69.0,68.0
Other Income,0.0,0.0,6.0,12.0,22.0
Interest,49.0,76.0,106.0,149.0,211.0
Depreciation,2.0,6.0,5.0,7.0,8.0
Profit before tax,38.0,64.0,113.0,167.0,201.0
Tax %,26.0,27.0,23.0,23.0,23.0
Net Profit,28.0,47.0,87.0,128.0,155.0
EPS in Rs,6.59,10.95,20.33,29.39,35.32
