,2023-06-01,2023-09-01
Sales,182.0,204.0
Expenses,57.0,59.0
Operating Profit,125.0,144.0
OPM %,69.0,71.0
Other Income,6.0,7.0
Interest,68.0,72.0
Depreciation,2.0,2.0
Profit before tax,61.0,77.0
Tax %,23.0,22.0
Net Profit,47.0,60.0
EPS in Rs,10.69,6.67
