,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.24,21.48,26.21,26.33,26.81,25.46,46.09,64.41,32.71,19.59,9.64,28.88,45.58
Expenses,17.94,21.87,26.07,24.32,24.6,25.4,45.9,63.22,38.07,25.57,12.3,26.24,41.36
Operating Profit,1.3,-0.39,0.14,2.01,2.21,0.06,0.19,1.19,-5.36,-5.98,-2.66,2.64,4.22
OPM %,6.76,-1.82,0.53,7.63,8.24,0.24,0.41,1.85,-16.39,-30.53,-27.59,9.14,9.26
Other Income,0.22,0.17,2.53,0.16,0.23,0.27,0.17,0.41,0.3,1.01,0.43,0.31,0.57
Interest,2.71,2.43,1.97,1.64,1.65,1.97,1.97,1.82,1.35,1.13,0.86,1.19,1.36
Depreciation,0.9,0.92,0.84,1.53,1.35,1.19,1.15,1.22,1.22,1.16,1.12,1.03,1.05
Profit before tax,-2.09,-3.57,-0.14,-1.0,-0.56,-2.83,-2.76,-1.44,-7.63,-7.26,-4.21,0.73,2.38
Tax %,-9.09,0.28,0.0,0.0,3.57,0.0,-0.36,2.08,0.0,-62.4,5.94,-38.36,
Net Profit,-2.28,-3.55,-0.14,-1.0,-0.54,-2.83,-2.77,-1.41,-7.63,-11.79,-3.96,1.01,8.36
EPS in Rs,-4.25,-6.62,-0.26,-1.87,-1.01,-4.49,-3.75,-1.54,-8.34,-12.88,-4.33,1.1,9.13
