,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,15.0,14.77,14.71,14.71,14.71,14.71,14.71,14.7,14.7,14.7,14.7,14.7
Public,85.0,85.23,85.29,85.29,85.29,85.29,85.29,85.3,85.3,85.31,85.29,85.29
No. of Shareholders,2146.0,2108.0,2106.0,1671.0,1647.0,2410.0,2241.0,2237.0,2276.0,2248.0,2158.0,2118.0
