,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,97.15,115.15,123.58,121.7,85.44,0.76,4.7,9.29,1.56,0.00,0.00,4.37,7.30
Expenses,92.06,107.51,121.68,122.45,88.66,2.59,5.31,10.1,2.25,0.54,0.41,3.52,5.84
Operating Profit,5.09,7.64,1.9,-0.75,-3.22,-1.83,-0.61,-0.81,-0.69,-0.54,-0.41,0.85,1.46
OPM %,5.24,6.63,1.54,-0.62,-3.77,-240.79,-12.98,-8.72,-44.23,,,19.45,20.00
Other Income,0.15,0.23,0.3,0.4,0.25,14.79,0.98,1.17,0.25,0.30,0.25,2.36,2.45
Interest,1.45,2.77,3.53,3.46,3.7,2.19,0.26,0.05,0.0,0.00,0.00,0.03,0.04
Depreciation,1.34,1.18,0.79,0.59,0.62,0.63,0.06,0.0,0.0,0.00,0.00,0.0,0.00
Profit before tax,2.45,3.92,-2.12,-4.4,-7.29,10.14,0.05,0.31,-0.44,-0.24,-0.16,3.18,3.87
Tax %,-16.73,0.0,0.0,0.0,-22.5,5.23,80.0,0.0,0.0,0.00,0.00,0.0,
Net Profit,2.86,3.91,-2.12,-4.4,-8.94,9.61,0.01,0.31,-0.44,-0.24,-0.16,3.18,3.87
EPS in Rs,,6.23,-3.38,-7.01,-14.25,15.32,0.02,0.49,-0.7,-0.38,-0.26,5.07,6.17
