,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.61,1.5,1.64,1.85,1.95,1.59,1.58,1.84,1.92,1.68,1.72,1.9,1.79
Expenses,1.53,1.41,1.58,1.71,1.77,1.44,1.47,1.69,1.76,1.55,1.56,1.74,1.67
Operating Profit,0.08,0.09,0.06,0.14,0.18,0.15,0.11,0.15,0.16,0.13,0.16,0.16,0.12
OPM %,4.97,6.0,3.66,7.57,9.23,9.43,6.96,8.15,8.33,7.74,9.3,8.42,6.7
Other Income,0.06,0.03,0.07,0.04,0.03,0.03,0.07,0.04,0.05,0.04,0.04,0.04,0.08
Interest,0.01,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Depreciation,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03
Profit before tax,0.08,0.04,0.06,0.11,0.14,0.11,0.12,0.15,0.17,0.13,0.16,0.16,0.16
Tax %,25.0,25.0,-0.0,27.27,28.57,18.18,41.67,20.0,29.41,23.08,18.75,18.75,25.0
Net Profit,0.06,0.03,0.06,0.08,0.1,0.09,0.07,0.11,0.12,0.1,0.13,0.12,0.12
EPS in Rs,0.13,0.07,0.13,0.18,0.22,0.2,0.15,0.24,0.26,0.22,0.28,0.26,0.26
