,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.21,32.06,35.4,37.04,35.99,32.01,34.46,47.04,47.05,37.43,45.69,50.36,58.40
Expenses,27.63,29.38,32.36,34.24,33.24,30.03,31.62,44.79,45.11,35.54,43.7,48.62,56.38
Operating Profit,2.58,2.68,3.04,2.8,2.75,1.98,2.84,2.25,1.94,1.89,1.99,1.74,2.02
OPM %,8.54,8.36,8.59,7.56,7.64,6.19,8.24,4.78,4.12,5.05,4.36,3.46,3.46
Other Income,0.3,1.87,1.14,0.59,0.81,0.87,0.68,0.62,0.76,0.53,0.45,0.27,0.14
Interest,1.72,1.45,1.24,1.08,0.56,0.36,0.37,0.42,0.36,0.12,0.15,0.1,0.08
Depreciation,1.67,1.72,1.41,1.4,0.54,0.75,0.9,0.87,0.9,0.82,0.89,0.94,0.93
Profit before tax,-0.51,1.38,1.53,0.91,2.46,1.74,2.25,1.58,1.44,1.48,1.4,0.97,1.15
Tax %,913.73,28.99,32.03,57.14,25.2,33.91,33.78,29.75,26.39,19.59,36.43,32.99,
Net Profit,4.15,0.98,1.04,0.38,1.82,1.14,1.49,1.11,1.07,1.19,0.9,0.64,0.88
EPS in Rs,1.88,0.44,0.47,0.17,0.82,0.52,0.67,0.5,0.48,0.54,0.41,0.29,0.40
