,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.5700000000000003,7.52,7.52,7.89,7.89,7.89,7.89,7.89
Reserves,2.41,1.61,1.62,1.34,1.69,2.12,3.14,3.71
Borrowings,14.6,11.91,13.3,14.9,16.68,18.78,13.58,14.39
Other Liabilities,1.27,0.6000000000000001,1.03,0.37,0.42,0.37,7.29,7.36
Total Liabilities,21.85,21.64,23.47,24.5,26.68,29.16,31.9,33.35
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.1,0.38,0.5700000000000001,0.8300000000000001,0.84,0.88,0.91,0.91
Other Assets,21.75,21.26,22.9,23.67,25.84,28.28,30.99,32.44
Total Assets,21.85,21.64,23.47,24.5,26.68,29.16,31.9,33.35
