,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.75,1.42,2.24,2.05,2.25,2.52,2.8,3.00
Expenses,3.73,0.91,0.39,0.36,0.24,0.22,0.26,0.30
Operating Profit,5.02,0.51,1.85,1.69,2.01,2.3,2.54,2.70
OPM %,57.37,35.92,82.59,82.44,89.33,91.27,90.71,90.00
Other Income,0.94,1.92,0.0,0.0,0.0,0.0,0.0,0.00
Interest,0.54,1.36,1.49,1.37,1.53,1.74,1.18,1.28
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,5.42,1.07,0.36,0.32,0.48,0.56,1.36,1.42
Tax %,26.75,25.23,25.0,6.25,29.17,30.36,27.21,
Net Profit,3.97,1.07,0.46,0.55,0.35,0.43,1.02,1.02
EPS in Rs,5.59,1.42,0.61,0.7,0.44,0.54,1.29,1.29
