,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,14.26,15.81,18.91,18.91,18.91,18.91,19.69,18.07,16.88
DIIs,5.49,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31
Public,80.25,83.87,80.77,80.77,80.77,80.77,80.0,81.61,82.8
No. of Shareholders,1699.0,1700.0,1705.0,1699.0,1707.0,1731.0,2867.0,2968.0,2933.0
