,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,20.0,5,5,6,16,16,16.0
Reserves,4,6,,43,-217,-17,671,727,745.0
Preference Capital,50,65,,141,15,242,0,0,
Borrowings,81,37,,189,231,232,41,32,109.0
Other Liabilities,74,128,,256,611,388,149,134,206.0
Total Liabilities,163,176,,493,630,609,877,909,1075.0
Fixed Assets,59,116,,223,275,309,386,471,559.0
CWIP,20,6,,42,9,4,28,25,28.0
Investments,0,0,,0,0,0,0,0,0.0
Other Assets,85,53,,228,345,297,463,413,488.0
Total Assets,163,176,,493,630,609,877,909,1075.0
