,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.0,57.0,108.0,147.0,258.0,396.0,455.0,464.0,511
Expenses,35.0,42.0,169.0,87.0,373.0,302.0,320.0,340.0,388
Operating Profit,0.0,15.0,-62.0,60.0,-114.0,94.0,135.0,124.0,122
OPM %,1.0,26.0,-57.0,41.0,-44.0,24.0,30.0,27.0,24
Other Income,3.0,4.0,3.0,2.0,13.0,265.0,15.0,19.0,19
Interest,6.0,6.0,8.0,16.0,25.0,26.0,18.0,8.0,10
Depreciation,5.0,10.0,18.0,26.0,32.0,37.0,41.0,54.0,62
Profit before tax,-7.0,2.0,-84.0,21.0,-158.0,295.0,90.0,82.0,69
Tax %,-6.0,8.0,29.0,40.0,29.0,37.0,21.0,23.0,
Net Profit,-8.0,2.0,-60.0,12.0,-112.0,185.0,71.0,64.0,55
EPS in Rs,-15.05,4.01,-116.54,24.15,-216.83,284.73,22.52,20.23,17.59
