,2022-03-01,2023-03-01,2023-09-01
Promoters,27.38,27.79,27.79
FIIs,4.49,3.39,3.68
DIIs,28.64,18.49,18.73
Public,39.49,50.33,49.79
No. of Shareholders,71445.0,67116.0,60665.0
