,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,58,58,58,58,58,58,58,66,66,66.0
Reserves,381,360,282,311,335,396,547,670,983,1017.0
Preference Capital,9,9,9,9,9,9,9,0,0,
Borrowings,347,311,230,240,244,278,220,245,361,344.0
Other Liabilities,103,114,180,159,149,149,185,189,219,300.0
Total Liabilities,889,843,749,767,785,881,1010,1170,1629,1728.0
Fixed Assets,231,234,296,287,284,266,296,298,548,567.0
CWIP,17,8,8,5,4,9,7,10,12,17.0
Investments,83,71,73,60,77,158,201,199,217,286.0
Other Assets,558,530,373,415,420,448,505,663,852,858.0
Total Assets,889,843,749,767,785,881,1010,1170,1629,1728.0
