,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,622.0,534.0,497.0,549.0,634.0,685.0,806.0,952.0,1214.0,1339
Expenses,547.0,481.0,467.0,475.0,534.0,576.0,613.0,768.0,942.0,1048
Operating Profit,75.0,53.0,31.0,74.0,100.0,109.0,193.0,184.0,272.0,291
OPM %,12.0,10.0,6.0,13.0,16.0,16.0,24.0,19.0,22.0,22
Other Income,5.0,6.0,24.0,22.0,9.0,12.0,50.0,27.0,25.0,33
Interest,36.0,23.0,20.0,22.0,25.0,23.0,19.0,17.0,19.0,25
Depreciation,26.0,30.0,35.0,33.0,38.0,38.0,40.0,39.0,41.0,50
Profit before tax,18.0,5.0,0.0,40.0,46.0,59.0,184.0,155.0,236.0,249
Tax %,183.0,292.0,2400.0,30.0,30.0,-11.0,26.0,25.0,22.0,
Net Profit,-15.0,-10.0,-2.0,28.0,33.0,66.0,136.0,117.0,184.0,194
EPS in Rs,-2.48,-1.74,-0.41,4.88,5.66,11.37,23.68,17.63,27.73,29.29
