,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,214.0,249.0,173.0,231.0,258.0,290.0,244.0,276.0,297.0,396.0,268.0,377.0
Expenses,167.0,194.0,150.0,191.0,207.0,221.0,198.0,222.0,230.0,294.0,229.0,296.0
Operating Profit,47.0,55.0,23.0,39.0,51.0,69.0,46.0,54.0,67.0,103.0,39.0,82.0
OPM %,22.0,22.0,14.0,17.0,20.0,24.0,19.0,20.0,23.0,26.0,15.0,22.0
Other Income,15.0,9.0,7.0,3.0,4.0,13.0,-2.0,8.0,12.0,8.0,9.0,4.0
Interest,4.0,5.0,4.0,3.0,2.0,8.0,5.0,5.0,5.0,3.0,8.0,9.0
Depreciation,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,12.0,14.0,14.0
Profit before tax,48.0,50.0,16.0,29.0,44.0,65.0,30.0,47.0,64.0,96.0,27.0,63.0
Tax %,34.0,17.0,27.0,23.0,24.0,25.0,23.0,25.0,24.0,19.0,20.0,25.0
Net Profit,32.0,41.0,12.0,23.0,34.0,49.0,23.0,35.0,48.0,77.0,21.0,47.0
EPS in Rs,5.48,7.15,2.06,3.91,5.07,7.37,3.48,5.33,7.3,11.64,3.22,7.13
