,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,13.14,14.09,10.18,11.82
Expenses,9.52,8.93,8.54,8.48
Operating Profit,3.62,5.16,1.64,3.34
OPM %,27.55,36.62,16.11,28.26
Other Income,0.39,0.33,3.0,1.52
Interest,0.95,1.03,1.19,0.98
Depreciation,0.87,1.44,1.66,1.28
Profit before tax,2.19,3.02,1.79,2.6
Tax %,61.19,23.51,31.28,26.15
Net Profit,0.86,2.32,1.22,1.92
EPS in Rs,0.62,1.67,0.88,1.38
