,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.9,9.9,9.9,13.9,13.9,13.9
Reserves,0.41,1.13,3.43,52.0,55.54,57.46
Borrowings,32.16,34.35,38.04,19.29,10.93,14.25
Other Liabilities,0.58,-0.17,2.37,3.29,4.03,3.28
Total Liabilities,43.05,45.21,53.74,88.48,84.4,88.89
Fixed Assets,23.28,20.1,19.92,20.46,21.39,20.35
CWIP,0.0,0.0,0.23,3.81,0.0,0.0
Investments,0.53,0.53,0.27,0.0,0.0,46.78
Other Assets,19.24,24.58,33.32,64.21,63.01,21.76
Total Assets,43.05,45.21,53.74,88.48,84.4,88.89
