,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.07,21.41,20.38,29.66,24.27,22.00
Expenses,12.23,13.78,11.49,20.25,17.47,17.02
Operating Profit,7.84,7.63,8.89,9.41,6.8,4.98
OPM %,39.06,35.64,43.62,31.73,28.02,22.64
Other Income,0.37,0.01,1.06,0.4,3.33,4.52
Interest,4.75,3.74,3.46,2.66,2.22,2.17
Depreciation,3.24,3.19,3.18,2.63,3.1,2.94
Profit before tax,0.22,0.71,3.31,4.52,4.81,4.39
Tax %,0.0,0.0,30.21,41.15,26.4,
Net Profit,0.22,0.71,2.3,2.66,3.54,3.14
EPS in Rs,0.22,0.72,2.32,1.91,2.55,2.26
