,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,8.95,4.62,4.35,7.83,13.9
Cash from Investing Activity,1.0,-0.01,-3.22,-35.74,-2.99
Cash from Financing Activity,-5.8100000000000005,-1.56,-1.22,28.72,-10.59
Net Cash Flow,4.14,3.05,-0.1,0.8,0.32
