,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.97,2.03,0.54,1.32,0.99,1.42,2.25,2.21,2.74,2.78,3.13,3.17,3.10
Expenses,1.79,2.14,0.82,0.87,0.48,0.67,3.43,0.81,0.69,0.46,0.65,0.89,1.04
Operating Profit,0.18,-0.11,-0.28,0.45,0.51,0.75,-1.18,1.4,2.05,2.32,2.48,2.28,2.06
OPM %,9.14,-5.42,-51.85,34.09,51.52,52.82,-52.44,63.35,74.82,83.45,79.23,71.92,66.45
Other Income,0.1,0.23,0.07,-0.04,0.02,0.43,0.0,0.27,-0.39,0.06,-0.01,0.0,0.00
Interest,0.65,0.22,0.01,0.01,0.07,0.13,1.0,1.27,1.3,1.61,2.05,1.61,1.62
Depreciation,1.6,1.36,1.04,0.39,0.38,0.37,0.37,0.37,0.35,0.36,0.36,0.37,0.38
Profit before tax,-1.97,-1.46,-1.26,0.01,0.08,0.68,-2.55,0.03,0.01,0.41,0.06,0.3,0.06
Tax %,25.89,46.58,42.86,-400.0,-75.0,-4.41,-12.94,-300.0,-800.0,173.17,-166.67,23.33,
Net Profit,-1.46,-0.78,-0.73,0.05,0.14,0.71,-2.88,0.12,0.09,-0.29,0.16,0.23,-0.04
EPS in Rs,-1.46,-0.08,-0.07,0.0,0.01,0.07,-0.29,0.01,0.01,-0.03,0.02,0.02,0.00
