,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,46.97,4.15,5.04,4.07,9.7,20.08,23.63
Expenses,43.5,1.1,1.2,1.36,1.74,1.39,1.46
Operating Profit,3.47,3.05,3.84,2.71,7.96,18.69,22.17
OPM %,7.39,73.49,76.19,66.58,82.06,93.08,93.82
Other Income,0.04,0.86,0.2,0.05,0.03,0.03,1.06
Interest,1.39,1.56,1.18,1.24,4.52,13.32,15.52
Depreciation,0.1,0.11,0.11,0.15,0.24,0.33,0.43
Profit before tax,2.02,2.24,2.75,1.37,3.23,5.07,7.28
Tax %,32.67,21.88,19.27,27.74,20.43,21.5,
Net Profit,1.36,1.75,2.22,0.98,2.57,3.99,5.68
EPS in Rs,0.32,0.41,0.52,0.19,0.51,0.68,0.96
