,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.5,8.5,8.5,8.5,8.5,10.5,10.5
Reserves,14.61,16.52,18.79,19.1,21.28,30.46,33.47
Borrowings,10.4,11.26,10.12,13.54,80.35,95.63,211.12
Other Liabilities,1.44,1.25,1.58,7.39,5.21,6.39,7.17
Total Liabilities,34.95,37.53,38.99,48.53,115.34,142.98,262.26
Fixed Assets,3.35,3.44,2.69,2.78,2.97,2.85,4.3
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,3.99,4.41,1.72,0.0,1.25,3.11,10.01
Other Assets,27.61,29.68,34.58,45.75,111.12,137.02,247.95
Total Assets,34.95,37.53,38.99,48.53,115.34,142.98,262.26
