,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,65.63,63.03,56.31,54.28,48.84,52.16,39.72,56.68,40.13,38.53,71.57,78.43,93.77
Expenses,57.87,58.06,49.75,53.43,53.92,54.45,41.2,56.66,39.85,36.13,67.38,73.18,89.39
Operating Profit,7.76,4.97,6.56,0.85,-5.08,-2.29,-1.48,0.02,0.28,2.4,4.19,5.25,4.38
OPM %,11.82,7.89,11.65,1.57,-10.4,-4.39,-3.73,0.04,0.7,6.23,5.85,6.69,4.67
Other Income,0.54,0.95,1.21,0.73,-2.87,1.0,10.6,3.97,-21.53,0.26,0.45,6.2,6.76
Interest,3.56,4.79,5.12,5.01,1.93,1.91,2.0,1.96,1.82,1.99,2.03,1.31,0.81
Depreciation,4.5,4.62,5.07,5.15,4.16,3.26,4.03,2.82,0.85,0.24,0.38,0.39,0.39
Profit before tax,0.24,-3.49,-2.42,-8.58,-14.04,-6.46,3.09,-0.79,-23.92,0.43,2.23,9.75,9.94
Tax %,41.67,52.44,50.83,18.76,8.33,27.09,15.21,-254.43,-15.22,79.07,32.29,48.92,
Net Profit,0.15,-1.65,-1.18,-6.96,-12.86,-4.7,2.62,-2.8,-27.55,0.08,1.52,4.99,5.20
EPS in Rs,0.14,-1.57,-1.12,-6.63,-12.25,-4.06,2.04,-2.31,-21.42,-0.06,0.58,2.58,3.32
