,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,62.53,53.39,50.43,51.52,49.86,43.23,48.51,47.52,39.54,22.87,48.33,65.46,54.46
Expenses,50.83,44.49,47.0,47.19,47.44,43.83,42.3,47.07,44.18,36.64,51.75,54.95,47.03
Operating Profit,11.7,8.9,3.43,4.33,2.42,-0.6,6.21,0.45,-4.64,-13.77,-3.42,10.51,7.43
OPM %,18.71,16.67,6.8,8.4,4.85,-1.39,12.8,0.95,-11.73,-60.21,-7.08,16.06,13.64
Other Income,3.28,-2.92,0.42,0.26,0.25,0.81,0.26,0.97,1.08,1.46,2.04,1.67,2.14
Interest,0.92,0.43,0.52,1.37,1.39,1.73,1.63,1.51,1.63,1.21,0.64,0.1,0.13
Depreciation,5.13,5.03,4.53,5.73,4.7,4.81,5.8,5.11,6.16,5.57,4.54,4.11,3.77
Profit before tax,8.93,0.52,-1.2,-2.51,-3.42,-6.33,-0.96,-5.2,-11.35,-19.09,-6.56,7.97,5.67
Tax %,28.44,323.08,11.67,11.16,29.24,30.81,2.08,63.65,22.29,20.12,0.91,25.35,
Net Profit,6.39,-1.16,-1.07,-2.22,-2.42,-4.37,-0.94,-1.89,-8.82,-15.25,-6.5,5.95,4.04
EPS in Rs,0.74,-0.16,-0.15,-0.31,-0.34,-0.62,-0.13,-0.27,-1.25,-2.16,-0.92,0.84,0.58
