,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,359.0,426.0,484.0,652.0,932.0,934
Expenses,313.0,354.0,392.0,541.0,793.0,814
Operating Profit,47.0,73.0,93.0,111.0,139.0,120
OPM %,13.0,17.0,19.0,17.0,15.0,13
Other Income,2.0,5.0,4.0,-1.0,8.0,8
Interest,15.0,13.0,11.0,14.0,25.0,25
Depreciation,7.0,7.0,9.0,11.0,23.0,23
Profit before tax,28.0,57.0,77.0,84.0,99.0,79
Tax %,33.0,31.0,31.0,31.0,30.0,
Net Profit,19.0,39.0,53.0,58.0,70.0,55
EPS in Rs,5.5,5.91,8.0,8.52,10.23,7.97
