,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,122,137,146,142
Cash from Investing Activity,-45,-61,-76,-147
Cash from Financing Activity,-72,-21,-56,-4
Net Cash Flow,5,55,14,-10
