,2023-09-01
Depreciation,0.44
EPS in Rs,-3.4
Expenses,12.34
Interest,0.61
Net Profit,-2.56
OPM %,-24.14
Operating Profit,-2.4
Other Income,0.03
Profit before tax,-3.42
Sales,9.94
Tax %,25.15
