,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,21.62,25.96,29.54,26.94
Expenses,20.33,24.05,26.62,22.45
Operating Profit,1.29,1.91,2.92,4.49
OPM %,5.97,7.36,9.88,16.67
Other Income,0.0,0.03,0.07,0.03
Interest,0.36,1.13,1.42,1.42
Depreciation,0.42,0.53,1.25,0.88
Profit before tax,0.51,0.28,0.32,2.22
Tax %,17.65,32.14,46.88,26.58
Net Profit,0.42,0.2,0.16,1.64
EPS in Rs,1.26,0.6,0.31,3.12
