,2022-09-01,2023-06-01,2023-09-01
Sales,41.0,41.58,43.25
Expenses,36.25,38.42,39.51
Operating Profit,4.75,3.16,3.74
OPM %,11.59,7.6,8.65
Other Income,0.58,0.43,0.64
Interest,0.44,0.51,0.69
Depreciation,1.0,1.33,1.29
Profit before tax,3.89,1.75,2.4
Tax %,28.79,-12.0,47.92
Net Profit,2.78,1.96,1.25
EPS in Rs,3.48,2.45,1.56
