,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,113.08,113.74,103.96,143.52,100.11,93.36,114.07,110.42,83.7,91.86
Expenses,107.17,109.41,100.71,142.16,95.49,91.48,113.19,112.57,81.23,89.58
Operating Profit,5.91,4.33,3.25,1.36,4.62,1.88,0.88,-2.15,2.47,2.28
OPM %,5.23,3.81,3.13,0.95,4.61,2.01,0.77,-1.95,2.95,2.48
Other Income,0.01,0.13,0.39,0.79,0.45,0.17,0.11,1.0,0.16,0.02
Interest,0.61,0.09,0.22,0.88,1.2,0.65,0.59,1.1,1.31,1.01
Depreciation,0.37,0.37,0.37,0.3,0.38,0.38,0.39,0.41,0.38,0.39
Profit before tax,4.94,4.0,3.05,0.97,3.49,1.02,0.01,-2.66,0.94,0.9
Tax %,25.71,25.75,23.61,58.76,25.21,24.51,0.0,12.78,15.96,15.56
Net Profit,3.67,2.96,2.33,0.41,2.61,0.76,0.01,-2.32,0.79,0.76
EPS in Rs,2.9,2.34,1.84,0.32,2.06,0.6,0.01,-1.83,0.62,0.6
