,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,346.0,326.0,333.0,346.0,355.0,338.0,354.0,336.0,368.0,358.0,389.0
Expenses,253.0,239.0,243.0,254.0,262.0,254.0,261.0,248.0,280.0,271.0,293.0
Operating Profit,93.0,87.0,89.0,92.0,93.0,84.0,93.0,88.0,88.0,88.0,97.0
OPM %,27.0,27.0,27.0,27.0,26.0,25.0,26.0,26.0,24.0,24.0,25.0
Other Income,3.0,3.0,6.0,7.0,18.0,4.0,8.0,3.0,14.0,6.0,10.0
Interest,17.0,15.0,16.0,16.0,16.0,11.0,11.0,10.0,11.0,10.0,11.0
Depreciation,31.0,32.0,32.0,33.0,28.0,25.0,26.0,25.0,24.0,23.0,21.0
Profit before tax,47.0,43.0,48.0,51.0,67.0,52.0,65.0,56.0,67.0,60.0,74.0
Tax %,5.0,0.0,1.0,2.0,-26.0,-8.0,6.0,6.0,2.0,1.0,0.0
Net Profit,45.0,43.0,47.0,50.0,85.0,56.0,61.0,53.0,66.0,60.0,74.0
EPS in Rs,2.25,2.15,2.34,1656.33,1.7,1.12,1.22,1.06,1.32,1.2,1.48
