,2012-03-01,2013-03-01,2014-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,202,202,202,202,202,202,109,500,500,500,500.0
Reserves,-28,0,52,222,296,170,607,944,1107,1243,1314.0
Preference Capital,411,411,411,296,296,296,0,0,0,0,
Borrowings,108,125,113,418,185,158,600,691,592,486,471.0
Other Liabilities,445,453,464,369,382,394,57,192,161,171,162.0
Total Liabilities,726,780,830,1210,1065,923,1373,2327,2359,2400,2447.0
Fixed Assets,632,671,668,805,817,789,228,1793,1739,1697,1717.0
CWIP,26,23,26,7,11,2,0,29,10,10,11.0
Investments,0,0,34,302,98,22,963,143,145,291,308.0
Other Assets,68,86,103,98,139,110,182,362,465,402,410.0
Total Assets,726,780,830,1210,1065,923,1373,2327,2359,2400,2447.0
