,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,6.0,8.2,8.2,8.2,10.25,10.25,10.25,10.25
Reserves,25.63,49.42,52.58,58.6,58.96,61.04,57.45,57.33
Borrowings,7.19,0.0,0.0,0.0,5.35,0.62,3.97,3.2
Other Liabilities,6.33,7.55,3.28,5.99,3.89,7.25,5.5600000000000005,9.04
Total Liabilities,45.15,65.17,64.06,72.79,78.45,79.16,77.23,79.82
Fixed Assets,8.73,10.8,12.5,26.8,37.53,28.1,36.31,33.6
CWIP,0.0,0.0,0.0,0.0,0.0,11.15,1.6,1.6
Investments,1.01,22.01,24.66,1.93,1.75,2.04,1.94,1.49
Other Assets,35.41,32.36,26.9,44.06,39.17,37.87,37.38,43.13
Total Assets,45.15,65.17,64.06,72.79,78.45,79.16,77.23,79.82
