,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.22,18.21,33.87,35.18,38.3,42.48,55.31
Expenses,12.18,16.86,31.66,32.91,34.64,37.79,49.11
Operating Profit,1.04,1.35,2.21,2.27,3.66,4.69,6.20
OPM %,7.87,7.41,6.52,6.45,9.56,11.04,11.21
Other Income,0.27,0.27,0.3,0.31,0.43,1.08,1.09
Interest,0.47,0.53,0.55,0.55,0.71,0.93,0.91
Depreciation,0.15,0.14,0.18,0.16,0.2,0.16,0.19
Profit before tax,0.69,0.95,1.78,1.87,3.18,4.68,6.19
Tax %,27.54,26.32,25.28,25.67,24.21,23.93,
Net Profit,0.5,0.7,1.32,1.39,2.4,3.56,4.70
EPS in Rs,0.79,1.11,2.1,2.14,3.48,3.67,4.84
