,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.09,2.09,2.09,2.18,2.31,9.71,9.71
Reserves,8.41,9.1,10.42,12.24,15.39,16.78,19.14
Borrowings,2.47,5.21,4.91,7.01,7.83,8.16,7.66
Other Liabilities,1.23,4.75,5.24,7.42,8.52,15.67,13.76
Total Liabilities,14.2,21.15,22.66,28.85,34.05,50.32,50.27
Fixed Assets,0.55,0.71,0.55,0.79,0.58,0.65,0.99
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.91,2.86,3.36,3.92,2.06,1.77,3.01
Other Assets,10.74,17.58,18.75,24.14,31.41,47.9,46.27
Total Assets,14.2,21.15,22.66,28.85,34.05,50.32,50.27
