,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-3,19,19,23,19,15,8,27,39,56,15,20
Cash from Investing Activity,-10,-14,-21,-14,-10,-23,-21,-43,-36,-50,-39,-30
Cash from Financing Activity,14,-5,2,-9,-9,7,16,17,-3,-1,32,4
Net Cash Flow,2,1,0,1,0,-1,3,2,0,5,9,-5
