,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,2,2,2,9,13,13
Reserves,656,695,615,763,814,839,906,922
Borrowings,1,34,100,67,50,114,421,484
Other Liabilities,33,85,114,156,199,227,292,311
Total Liabilities,693,817,832,989,1065,1189,1632,1731
Fixed Assets,173,264,334,308,383,377,977,1007
CWIP,6,8,8,43,16,137,70,83
Investments,381,341,226,264,350,230,11,12
Other Assets,134,203,264,374,317,444,574,629
Total Assets,693,817,832,989,1065,1189,1632,1731
