,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,125,375,389,403,403,505,505,497,497,500,500,500.0
Reserves,654,536,1096,17,1472,2327,2709,2775,2875,3080,3574,3874.0
Preference Capital,0,0,0,0,0,0,0,0,0,374,374,
Borrowings,505,886,1091,3321,2758,2352,2788,5605,4804,4907,5700,5995.0
Other Liabilities,856,1097,1834,2003,2171,2296,2926,3528,3444,4035,5062,5340.0
Total Liabilities,2140,2894,4409,5743,6804,7479,8928,12405,11620,12521,14836,15708.0
Fixed Assets,872,1087,2237,2507,3520,3738,4289,7124,6749,7009,9052,9441.0
CWIP,185,357,197,358,290,402,550,736,934,998,279,395.0
Investments,6,7,3,39,32,38,22,34,63,45,80,36.0
Other Assets,1077,1442,1972,2839,2962,3302,4067,4511,3874,4470,5425,5835.0
Total Assets,2140,2894,4409,5743,6804,7479,8928,12405,11620,12521,14836,15708.0
