,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,236,203,361,537,601,1223,1569,1314,1834
Cash from Investing Activity,,,-439,-775,-1136,-522,-702,-658,-333,-563,-951
Cash from Financing Activity,,,203,578,654,46,134,-675,-1116,-686,-817
Net Cash Flow,,,-1,5,-122,61,33,-110,120,65,66
