,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,68.89,67.99,66.77,67.11,67.33,67.12,66.55
FIIs,1.93,1.23,0.24,0.07,0.2,0.63,0.77
DIIs,7.25,8.71,8.28,7.93,6.15,6.15,6.08
Public,21.92,22.08,24.7,24.89,26.32,26.1,26.59
No. of Shareholders,17900.0,17255.0,19005.0,34664.0,53969.0,42373.0,52001.0
