,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,42,42,42,42,42,42,42,41,41,40,40,40
Reserves,817,801,879,1013,1104,1434,1682,1816,2033,2128,2376,2509
Borrowings,830,964,880,940,801,432,74,13,18,16,35,32
Other Liabilities,288,309,388,471,534,597,499,488,470,561,680,654
Total Liabilities,1978,2116,2190,2466,2480,2506,2297,2358,2562,2745,3131,3235
Fixed Assets,1130,1143,1028,919,863,785,722,696,823,923,891,1031
CWIP,129,99,41,49,55,36,74,238,127,109,551,813
Investments,2,2,2,2,1,1,2,2,2,167,173,99
Other Assets,717,873,1119,1496,1561,1684,1498,1423,1611,1545,1517,1292
Total Assets,1978,2116,2190,2466,2480,2506,2297,2358,2562,2745,3131,3235
