,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,402.0,423.0,603.0,511.0,407.0,555.0,749.0,665.0,594.0,620.0,830.0,760.0,585.0
Expenses,323.0,339.0,498.0,418.0,335.0,487.0,636.0,541.0,525.0,511.0,664.0,631.0,487.0
Operating Profit,79.0,84.0,104.0,93.0,72.0,68.0,113.0,124.0,70.0,108.0,166.0,129.0,99.0
OPM %,20.0,20.0,17.0,18.0,18.0,12.0,15.0,19.0,12.0,18.0,20.0,17.0,17.0
Other Income,7.0,-57.0,8.0,8.0,9.0,7.0,9.0,14.0,14.0,12.0,13.0,9.0,6.0
Interest,2.0,2.0,2.0,2.0,7.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0
Depreciation,21.0,21.0,28.0,26.0,29.0,32.0,35.0,30.0,32.0,34.0,35.0,32.0,36.0
Profit before tax,63.0,4.0,83.0,74.0,44.0,41.0,85.0,105.0,49.0,83.0,143.0,104.0,65.0
Tax %,2.0,98.0,2.0,8.0,-5.0,-8.0,-4.0,36.0,37.0,36.0,33.0,10.0,38.0
Net Profit,61.0,0.0,81.0,68.0,47.0,44.0,88.0,68.0,31.0,53.0,96.0,93.0,41.0
EPS in Rs,1.46,-0.04,2.07,1.65,1.13,1.08,2.19,1.67,0.77,1.31,2.38,2.31,1.01
