,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.69,0.18,0.26,0.22,0.15,0.00,0.00,0.13,0.1,0.00,0.00,3.39,3.85
Expenses,0.73,1.35,1.31,1.5,0.6,0.57,1.83,3.16,5.26,1.59,1.70,1.7,1.92
Operating Profit,-0.04,-1.17,-1.05,-1.28,-0.45,-0.57,-1.83,-3.03,-5.16,-1.59,-1.70,1.69,1.93
OPM %,-5.8,-650.0,-403.85,-581.82,-300.0,,,-2330.77,-5160.0,,,49.85,50.13
Other Income,1.15,1.59,1.41,1.74,1.3,-0.04,-0.53,2.13,-7.02,0.10,-21.77,0.08,-0.14
Interest,0.09,0.0,0.0,0.15,0.0,1.94,2.37,4.64,2.97,2.95,3.32,3.73,3.84
Depreciation,0.01,0.02,0.02,0.01,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01
Profit before tax,1.01,0.4,0.34,0.3,0.82,-2.55,-4.73,-5.55,-15.16,-4.44,-26.79,-1.97,-2.06
Tax %,33.66,27.5,58.82,33.33,2.44,0.00,0.00,0.0,0.0,0.00,0.00,0.0,
Net Profit,0.66,0.3,0.15,0.2,0.8,-2.56,-4.73,-5.55,-15.15,-5.81,-27.82,-3.68,-3.09
EPS in Rs,0.04,0.02,0.01,0.01,0.05,-0.15,-0.28,-0.33,-0.89,-0.34,-1.63,-0.22,-0.18
