,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,3.61,3.62,3.66,3.84,5.7,3.31,4.04,14.18,4.95,9.17
Expenses,3.15,2.16,3.56,4.55,4.02,2.77,3.37,11.05,3.76,4.82
Operating Profit,0.46,1.46,0.1,-0.71,1.68,0.54,0.67,3.13,1.19,4.35
OPM %,12.74,40.33,2.73,-18.49,29.47,16.31,16.58,22.07,24.04,47.44
Other Income,0.33,0.17,0.0,0.12,0.12,0.07,0.24,0.61,0.08,0.18
Interest,0.03,0.04,0.02,0.07,0.06,0.03,0.11,0.05,0.03,0.18
Depreciation,0.21,0.16,0.17,0.06,0.17,0.09,0.09,0.09,0.09,0.11
Profit before tax,0.55,1.43,-0.09,-0.72,1.57,0.49,0.71,3.6,1.15,4.24
Tax %,20.0,30.07,-33.33,26.39,29.3,24.49,36.62,24.17,18.26,23.82
Net Profit,0.44,1.01,-0.13,-0.53,1.11,0.38,0.45,2.73,0.94,3.22
EPS in Rs,2.2,3.74,-0.48,-1.96,4.11,1.41,1.67,10.11,3.43,11.73
